Cell Name,Cluster
E10_P2_M39,CD8_5
E10_P3_M39,CD8_2
E10_P4_M39,CD8_3
E11_P1_M39,CD8_2
E11_P3_M39,CD8_1
E12_P3_M39,CD8_3
E1_P1_M39,CD8_2
E1_P4_M39,CD8_4
E2_P1_M39,CD8_2
E2_P3_M39,CD8_2
E2_P4_M39,CD8_2
E3_P3_M39,CD8_4
E4_P1_M39,CD8_2
E4_P2_M39,CD8_3
E5_P2_M39,CD8_5
E5_P4_M39,CD8_6
E6_P1_M39,CD8_2
E6_P3_M39,CD8_1
E7_P1_M39,CD8_3
E7_P2_M39,CD8_2
E7_P4_M39,CD8_6
E8_P1_M39,CD8_1
E8_P2_M39,CD8_2
E8_P3_M39,CD8_5
E9_P2_M39,CD8_2
E9_P4_M39,CD8_4
F10_P3_M39,CD8_4
F11_P1_M39,CD8_5
F11_P3_M39,CD8_5
F11_P4_M39,CD8_2
F12_P2_M39,CD8_3
F12_P4_M39,CD8_6
F1_P1_M39,CD8_3
F1_P2_M39,CD8_1
F1_P4_M39,CD8_1
F2_P2_M39,CD8_4
F3_P1_M39,CD8_2
F4_P1_M39,CD8_4
F4_P2_M39,CD8_2
F4_P3_M39,CD8_3
F4_P4_M39,CD8_2
F5_P2_M39,CD8_2
F6_P1_M39,CD8_2
F6_P3_M39,CD8_1
F6_P4_M39,CD8_6
F7_P1_M39,CD8_2
F7_P2_M39,CD8_2
F7_P4_M39,CD8_1
F8_P1_M39,CD8_2
F8_P2_M39,CD8_2
F9_P2_M39,CD8_6
G10_P2_M39,CD8_5
G10_P3_M39,CD8_2
G10_P4_M39,CD8_4
G11_P1_M39,CD8_2
G11_P3_M39,CD8_2
G12_P3_M39,CD8_2
G1_P2_M39,CD8_1
G1_P3_M39,CD8_4
G2_P3_M39,CD8_6
G4_P3_M39,CD8_2
G5_P2_M39,CD8_2
G6_P1_M39,CD8_2
G6_P2_M39,CD8_2
G7_P1_M39,CD8_4
G7_P3_M39,CD8_2
G8_P1_M39,CD8_4
G8_P2_M39,CD8_2
G8_P3_M39,CD8_4
G9_P2_M39,CD8_2
G9_P3_M39,CD8_2
H10_P1_M39,CD8_2
H10_P2_M39,CD8_2
H10_P3_M39,CD8_3
H11_P2_M39,CD8_3
H11_P3_M39,CD8_2
H11_P4_M39,CD8_3
H12_P1_M39,CD8_1
H1_P2_M39,CD8_2
H1_P3_M39,CD8_2
H1_P4_M39,CD8_2
H2_P2_M39,CD8_2
H3_P1_M39,CD8_1
H3_P4_M39,CD8_2
H4_P2_M39,CD8_5
H4_P3_M39,CD8_3
H4_P4_M39,CD8_3
H5_P1_M39,CD8_2
H5_P4_M39,CD8_2
H6_P2_M39,CD8_2
H6_P4_M39,CD8_2
H7_P1_M39,CD8_2
H7_P2_M39,CD8_2
H7_P3_M39,CD8_2
H8_P1_M39,CD8_2
H8_P2_M39,CD8_2
H8_P3_M39,CD8_4
H9_P2_M39,CD8_6
A10_P6_M17,CD8_5
A11_P2_M17,CD8_6
A11_P6_M17,CD8_4
A12_P5_M17,CD8_2
A12_P6_M17,CD8_4
A2_P2_M17,CD8_6
A2_P5_M17,CD8_2
A2_P6_M17,CD8_6
A3_P6_M17,CD8_4
A4_P5_M17,CD8_4
A6_P6_M17,CD8_4
A7_P2_M17,CD8_4
A7_P6_M17,CD8_4
B12_P5_M17,CD8_4
B12_P6_M17,CD8_4
B1_P6_M17,CD8_4
B2_P5_M17,CD8_4
B3_P6_M17,CD8_4
B5_P6_M17,CD8_4
B9_P6_M17,CD8_4
C10_P1_M17,CD8_6
C10_P5_M17,CD8_2
C10_P6_M17,CD8_4
C11_P2_M17,CD8_4
C12_P6_M17,CD8_4
C1_P6_M17,CD8_4
C2_P2_M17,CD8_6
C2_P5_M17,CD8_4
C3_P6_M17,CD8_4
C4_P5_M17,CD8_2
C5_P2_M17,CD8_6
C5_P5_M17,CD8_1
C5_P6_M17,CD8_2
C6_P2_M17,CD8_4
C6_P5_M17,CD8_2
C8_P5_M17,CD8_4
C9_P6_M17,CD8_4
D10_P6_M17,CD8_4
D11_P2_M17,CD8_6
D11_P5_M17,CD8_4
D2_P5_M17,CD8_4
D2_P6_M17,CD8_2
D4_P1_M17,CD8_6
D8_P1_M17,CD8_6
D8_P2_M17,CD8_6
D9_P5_M17,CD8_2
E10_P2_M17,CD8_6
E10_P5_M17,CD8_4
E11_P6_M17,CD8_2
E12_P6_M17,CD8_6
E1_P1_M17,CD8_6
E1_P5_M17,CD8_4
E1_P6_M17,CD8_2
E2_P5_M17,CD8_4
E3_P5_M17,CD8_4
E4_P1_M17,CD8_6
E6_P2_M17,CD8_6
E6_P5_M17,CD8_2
F11_P6_M17,CD8_4
F1_P5_M17,CD8_2
F2_P5_M17,CD8_2
